id,carat,cut,color,clarity,depth,table,x,y,z,price
0,0.53,Very Good,G,SI1,63.4,54.0,5.09,5.13,3.24,7.057
1,0.41,Ideal,D,SI1,63.0,56.0,4.8,4.75,3.01,6.824
2,0.32,Ideal,I,VS2,61.6,56.0,4.37,4.39,2.7,6.107
3,0.31,Ideal,H,VVS2,61.2,56.0,4.34,4.37,2.66,6.39
4,1.35,Premium,J,VS2,60.5,56.0,7.19,7.12,4.33,8.741
5,0.9,Ideal,F,SI1,61.8,57.0,6.19,6.21,3.83,8.281
6,1.01,Very Good,F,SI1,60.8,59.0,6.49,6.53,3.96,8.491
7,1.31,Premium,I,SI2,59.1,59.0,7.2,7.15,4.24,8.656
8,1.02,Very Good,D,SI1,63.3,58.0,6.39,6.35,4.03,8.63
9,0.81,Very Good,E,SI1,61.9,60.0,5.87,5.95,3.66,8.201
10,1.01,Good,F,VS2,63.6,59.0,6.36,6.32,4.03,8.716
11,0.7,Fair,H,SI1,64.7,58.0,5.59,5.54,3.6,7.626
12,0.7,Very Good,I,SI2,63.2,60.0,5.62,5.55,3.53,7.422
13,0.79,Premium,H,VS2,62.6,61.0,5.9,5.86,3.68,7.911
14,0.58,Very Good,G,VVS2,62.0,57.0,5.33,5.34,3.31,7.639
15,2.08,Ideal,I,SI2,62.3,56.0,8.16,8.22,5.1,9.625
16,0.36,Very Good,D,VVS1,59.0,59.0,4.66,4.69,2.76,7.02
17,0.71,Ideal,E,VS1,61.4,57.0,5.81,5.78,3.56,8.142
18,0.41,Very Good,J,VS1,63.2,59.0,4.7,4.67,2.96,6.681
19,1.5,Very Good,I,VS2,63.3,55.0,7.3,7.26,4.61,9.163
20,0.79,Ideal,F,SI1,62.0,55.0,5.93,5.95,3.68,8.033
21,0.29,Ideal,F,SI2,60.6,59.0,4.31,4.37,2.63,6.207
22,0.31,Very Good,G,VVS1,62.6,61.0,4.28,4.31,2.69,6.704
23,0.5,Ideal,J,VS2,62.0,56.0,5.08,5.12,3.16,7.061
24,0.9,Premium,G,I1,62.3,53.0,6.16,6.12,3.82,7.57
25,1.2,Good,E,VS2,63.7,57.0,6.71,6.64,4.25,8.685
26,0.71,Very Good,E,SI1,58.7,61.0,5.83,5.86,3.43,7.82
27,0.3,Ideal,G,VS1,62.2,55.0,4.28,4.31,2.67,6.405
28,1.03,Premium,D,SI2,61.3,61.0,6.49,6.46,3.97,8.469
29,0.31,Ideal,G,IF,61.6,56.0,4.37,4.4,2.7,6.732
30,0.4,Ideal,J,VS2,62.9,57.0,4.75,4.7,2.97,6.64
31,0.33,Very Good,G,VS2,61.5,59.4,4.45,4.49,2.75,6.435
32,1.02,Very Good,F,SI2,60.3,59.0,6.5,6.53,3.93,8.353
33,0.41,Ideal,H,VVS1,62.7,54.0,4.79,4.78,3.0,7.017
34,1.53,Ideal,I,SI2,62.4,58.0,7.31,7.37,4.58,8.946
35,0.7,Good,F,VVS1,63.3,56.0,5.64,5.7,3.59,8.105
36,0.34,Ideal,E,SI1,61.2,57.0,4.48,4.51,2.75,6.457
37,0.58,Very Good,G,SI2,63.3,58.0,5.26,5.29,3.34,7.018
38,1.23,Ideal,G,VS2,61.5,54.0,6.92,6.89,4.25,9.004
39,0.9,Premium,F,SI2,61.4,58.0,6.13,6.19,3.78,8.194
